CNPJ DO FUNDO;NOME DO FUNDO;CLASSE;CLASSE;TX. ADM;ADMINISTRADOR;GESTOR;CARÊNCIA;CONVERSÃO DE COTAS;DISP. REC. RESGATADO;TAXA_SAIDA;MOTIVO
12.053.694/0001-04;ÁTICO FIDC IMOBILIÁRIOS;FIDC;FIDC;1;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;ATICO ADMINISTRAÇÃO DE RECURSOS LTDA;(vide regulamento);(vide regulamento);(vide regulamento);0;FIDC Vedado
12.138.862/0001-64;FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL SILVERADO MAXIMUM II;FIDC;FIDC;3;GRADUAL CCTVM S/A;GRADUAL CCTVM S/A;Data de encerramento do Fundo;Data de encerramento do Fundo;Data de encerramento do Fundo;nd;FIDC Vedado
12.228.008/0001-99;LEME FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;FI;Fundo Multimercado;0;GRADUAL CCTVM S/A;BRIDGE GESTORA DE RECURSOS LTDA.;Não há.;D+0;D+1;0;FIP Vedado /
12.312.767/0001-35;ÁTICO FLORESTAL - FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;FIP;FIP;2;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;ATICO ADMINISTRAÇÃO DE RECURSOS LTDA;Data de encerramento do Fundo;Data de encerramento do Fundo;Data de encerramento do Fundo;0;FIP Vedado, Investidor Profissional
12.330.846/0001-79;FUNDO DE INVESTIMENTO RENDA FIXA IPIRANGA;FI;Fundo de Renda Fixa;1;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;VILA RICA CAPITAL GESTORA DE RECURSOS LTDA;Não há.;D+540;D+541;10;Ativo Vedado / FIDC Vedado /
12.360.621/0001-65;FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES TURISMO BRASIL MULTIESTRATÉGIA;FIP;FIP;0;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;TOTEM INVESTIMENTOS E GESTÃO DE RECURSOS LTDA.;Data de encerramento do Fundo;Data de encerramento do Fundo;Data de encerramento do Fundo;0;FIP Vedado, Investidor Profissional
12.402.646/0001-84;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM RENDA FIXA LONGO PRAZO IMAB 1000;FI;Fundo de Renda Fixa;1;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;TMJ CAPITAL GESTÃO DE RECURSOS LTDA;Não há.;D+1000;D+1002;0;Ativo Vedado / CRI/CRA / FIDC Vedado / FII Vedado /
12.440.789/0001-80;LME REC MULTISETORIAL IPCA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS;FIDC;FIDC;2;GRADUAL CCTVM S/A;BRIDGE GESTORA DE RECURSOS LTDA.;90 dias corridos.;D+1259;D+1260;0;FIDC Vedado
12.845.801/0001-37;TOWER BRIDGE RENDA FIXA FUNDO DE INVESTIMENTO IMA B 5;FI;Fundo de Renda Fixa;1;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;Não há.;D+1470;D+1471;0;Ativo Vedado / CRI/CRA / FIDC Vedado / FII Vedado /
13.000.836/0001-38;OSASCO PROPERTIES FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES MULTIESTRATÉGIA;FIP;FIP;2;PLANNER CORRETORA DE VALORES SA;CADENCE GESTORA DE RECURSOS LTDA;0;"NA";"NA";0;FIP Vedado
13.344.834/0001-66;INCENTIVO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL II;FIDC;FIDC;0;GRADUAL CCTVM S/A;GRADUAL CCTVM S/A;Não há.;D+1200;D+1260;0;FIDC Vedado
13.555.918/0001-49;AQUILLA FUNDO DE INVESTIMENTO IMOBILIÁRIO;FII;Fundo de Investimento Imobiliário;2;FOCO DTVM LTDA.;AQ3 ASSET MANAGEMENT LTDA;0;0;0;0;FII - Negociação 60%
13.593.438/0001-72;ECO HEDGE FIM CREDITO PRIVADO LONGO PRAZO;FI;Fundo Multimercado;0;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;BRASIL PLURAL GESTÃO DE RECURSOS LTDA;Não há.;D+4380;D+4382;0;Ativo Vedado /
13.594.673/0001-69;TMJ IMA-B FUNDO DE INVESTIMENTO RENDA FIXA;FI;Fundo de Renda Fixa;1;BRIDGE ADMINISTRADORA DE RECURSOS LTDA.;TMJ CAPITAL GESTÃO DE RECURSOS LTDA;Não há.;D+1460;D+1461;15;Ativo Vedado / CRI/CRA / FIDC Vedado /
13.633.964/0001-19;FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL INVEST DUNAS LP;FIDC;FIDC;3;SOCOPA SOCIEDADE CORRETORA PAULISTA SA;RIVIERA GESTORA DE RECURSOS LTDA;Não há.;D+29;D+30;0;FIDC Vedado
13.651.947/0001-04;TOTEM FUNDO DE INVESTIMENTO RENDA FIXA II;FI;Fundo de Renda Fixa;1;BNY MELLON SERVICOS FINANCEIROS DTVM S.A.;TOTEM INVESTIMENTOS E GESTÃO DE RECURSOS LTDA.;Não há.;D+1825;D+1827;30;Investidor Profissional
