TP_FUNDO;CNPJ_FUNDO;DT_REG;CNPJ_ADMIN;ADMIN
FIDC;14.665.353/0001-15;2011-12-15;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
FIDC;14.666.594/0001-89;2011-12-07;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
FIDC;14.673.848/0001-96;2011-11-29;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
FIDC;14.693.954/0001-31;2012-06-19;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;14.713.761/0001-03;2011-12-15;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;14.718.674/0001-30;2013-01-11;11.758.741/0001-52;BANCO FINAXIS S.A.
FIDC;14.725.854/0001-40;2012-01-18;03.384.738/0001-98;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.
FIDC;14.728.096/0001-13;2013-01-08;00.360.305/0001-04;CAIXA ECONOMICA FEDERAL
FIDC;14.730.177/0001-58;2012-01-13;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
FIDC;14.742.113/0001-77;2012-04-18;00.806.535/0001-54;PLANNER CORRETORA DE VALORES SA
FIDC;14.744.913/0001-27;2017-12-11;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;14.770.038/0001-58;2012-01-08;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;14.788.370/0001-40;2012-03-27;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
FIDC;14.793.809/0001-22;2012-12-26;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
FIDC;14.866.302/0001-51;2012-03-27;62.318.407/0001-19;SANTANDER CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A
FIDC;14.880.030/0001-44;2012-01-16;03.384.738/0001-98;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.
FIDC;14.880.030/0001-44;2013-06-17;03.384.738/0001-98;VOTORANTIM ASSET MANAGEMENT DTVM LTDA.
FIDC;15.090.125/0001-27;2012-08-29;33.868.597/0001-40;CITIBANK DTVM SA
FIDC;15.239.946/0001-82;2012-08-21;59.281.253/0001-23;BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM
FIDC;15.254.288/0001-06;2013-02-14;00.360.305/0001-04;CAIXA ECONOMICA FEDERAL
FIDC;15.254.301/0001-19;2014-09-19;00.360.305/0001-04;CAIXA ECONOMICA FEDERAL
FIDC;15.333.285/0001-50;2012-05-11;05.389.174/0001-01;MODAL  D.T.V.M. LTDA
FIDC;15.336.665/0001-48;2012-08-24;05.389.174/0001-01;MODAL  D.T.V.M. LTDA
FIDC;15.428.505/0001-29;2012-04-27;05.389.174/0001-01;MODAL  D.T.V.M. LTDA
FIDC;15.489.353/0001-74;2012-08-14;62.318.407/0001-19;SANTANDER CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A
FIDC;15.489.383/0001-80;2012-07-16;67.030.395/0001-46;PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
FIDC;15.527.504/0001-31;2012-08-14;30.723.886/0001-62;BANCO MODAL S.A.
FIDC;15.558.603/0001-80;2015-12-24;33.886.862/0001-12;MAXIMA S/A CCTVM
FIDC;15.578.550/0001-60;2014-06-20;13.486.793/0001-42;BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.
FIDC;15.586.123/0001-23;2012-12-11;36.113.876/0001-91;OLIVEIRA TRUST DTVM S.A.
FIDC;15.594.986/0001-42;2012-06-11;02.276.653/0001-23;TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;15.636.974/0001-33;2012-08-14;33.918.160/0001-73;GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.
FIDC;15.653.649/0001-89;2013-12-10;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;15.656.321/0001-16;2012-07-02;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;15.675.220/0001-92;2012-07-24;62.285.390/0001-40;SOCOPA SOCIEDADE CORRETORA PAULISTA SA
FIDC;15.799.294/0001-30;2012-06-28;05.389.174/0001-01;MODAL  D.T.V.M. LTDA
FIDC;15.835.579/0001-80;2012-07-04;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;15.835.634/0001-31;2015-08-25;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;15.835.686/0001-08;2015-07-23;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;16.501.960/0001-75;2012-07-19;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;16.502.059/0001-18;2012-07-19;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;16.502.088/0001-80;2012-07-19;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;16.502.119/0001-00;2012-07-19;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
FIDC;16.502.154/0001-11;2012-07-19;00.066.670/0001-00;BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
