TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_REG;DT_CONST;DT_CANCEL;SIT;DT_INI_SIT;DT_INI_EXERC;DT_FIM_EXERC
FACFIF;04.974.462/0001-60;ALFA PRIVATE FLEX 015 - FUNDO DE APLICACAO EM QUOTAS DE FUNDO DE INVESTIMENTO FINANCEIRO;2003-04-30;2002-11-27;2005-01-04;CANCELADA;2005-01-04;;
FACFIF;05.101.756/0001-40;ALFA PRIVATE FLEX 021 FIC DE FI MULTIMERCADO  CRÉDITO PRIVADO - INVEST QUALIFICADO;2003-04-30;2002-12-18;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;05.101.780/0001-80;ALFA PRIVATE FLEX 022 FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO LP INVEST QUALIFICADO;2003-04-30;2003-02-13;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;05.491.514/0001-00;ALFA PRIVATE FLEX 023 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2003-04-30;2003-02-25;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;05.491.538/0001-60;ALFA PRIVATE FLEX 025 FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO INVEST QUALIFICADO;2003-04-30;2003-04-14;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;05.491.534/0001-81;ALFA PRIVATE FLEX 026 FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO LP INVEST QUALIFICADO;2003-05-09;2003-05-09;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;05.491.551/0001-19;ALFA PRIVATE FLEX 027 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2003-08-08;2003-08-08;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;04.324.142/0001-65;ALFA PRIVATE FLEX 028 FIC DE FI MULTIMERCADO - CRÉDITO PRIVADO - INVEST QUALIFICADO;2003-04-30;2003-01-02;2005-01-27;CANCELADA;2005-01-27;;
FACFIF;04.324.116/0001-37;ALFA PRIVATE FLEX 029 - FUNDO DE APLICACAO EM QUOTAS DE FUNDO DE INVESTIMENTO FINANCEIRO;2003-04-30;2003-02-25;2005-01-17;CANCELADA;2005-01-17;;
FACFIF;05.592.115/0001-36;ALFA PRIVATE FLEX 032 FUNDO DE INVEST EM COTAS DE FDO DE INVEST MULTIMERCADO LP INVEST QUALIFICADO;2003-05-08;2003-05-08;2005-01-27;CANCELADA;2005-01-27;;
